City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Rørvik,64.8621,11.2373,53.978000000000065,82,98,1.82,NO,1627101827
121,Freeport,40.6576,-73.5832,73.38200000000002,72,20,0.0,US,1627101710
122,Kedrovyy,56.1667,91.8167,73.81400000000004,44,77,5.36,RU,1627101827
123,Puerto Escondido,15.85,-97.0667,80.708,76,79,3.19,MX,1627101828
124,Cherskiy,68.75,161.3,52.73600000000007,56,77,4.91,RU,1627101806
125,Tanout,14.9709,8.8879,77.0,73,29,7.13,NE,1627101828
126,Tuktoyaktuk,69.4541,-133.0374,57.2,62,75,6.17,CA,1627101444
127,Shīeli,44.1667,66.75,97.41200000000006,16,0,1.6,KZ,1627101674
128,Gemeente Wageningen,51.9667,5.6667,60.17000000000006,92,90,4.12,NL,1627101829
129,Nikolskoye,59.7035,30.7861,60.8,56,80,1.95,RU,1627101425
130,Philadelphia,39.9523,-75.1638,70.75400000000005,80,1,1.61,US,1627101562
131,Ponta do Sol,32.6667,-17.1,70.43000000000004,77,3,2.36,PT,1627101635
132,Salalah,17.0151,54.0924,77.09000000000002,100,90,5.14,OM,1627101830
133,Daru,-9.0763,143.2092,79.43000000000004,81,100,5.07,PG,1627101586
134,Xinyang,32.1228,114.0656,85.766,69,43,5.97,CN,1627101830
135,Goderich,43.7501,-81.7165,68.32400000000001,68,88,2.06,CA,1627101803
136,Poum,-20.2333,164.0167,74.80400000000006,82,0,3.14,NC,1627101831
137,Cabo San Lucas,22.8909,-109.9124,89.816,76,0,3.58,MX,1627101831
138,Hlotse,-28.8718,28.045,27.788000000000046,46,0,1.66,LS,1627101831
139,Cap-aux-Meules,47.3821,-61.8597,55.418000000000085,88,100,7.2,CA,1627101832
140,Ahipara,-35.1667,173.1667,56.62400000000001,75,3,2.02,NZ,1627101832
141,Saint George,37.1041,-113.5841,87.63800000000005,44,1,3.58,US,1627101661
142,Port Augusta,-32.5,137.7667,50.14400000000008,42,90,11.2,AU,1627101833
143,Beipiao,41.7919,120.7792,90.64400000000008,45,22,6.99,CN,1627101833
144,Rodrigues Alves,-7.738,-72.6509,67.37000000000006,69,10,0.56,BR,1627101833
145,Atikokan,48.7555,-91.6216,68.28800000000004,84,61,5.87,CA,1627101834
